Fecha,Dolar,UF,Euro
2024-06-26,942.31,37556.86,1009.76
2024-06-27,947.78,37560.61,1012.26
2024-06-28,951.02,37564.36,1018.11
2024-06-29,,37568.11,
2024-06-30,,37571.86,
2024-07-01,944.34,37575.61,1011.83
2024-07-02,943.89,37579.36,1012.54
2024-07-03,946.99,37583.12,1017.18
2024-07-04,939.57,37586.87,1012.9
2024-07-05,936.55,37590.62,1012.6
2024-07-06,,37594.38,
2024-07-07,,37598.13,
2024-07-08,933.51,37601.88,1011.17
2024-07-09,939.17,37605.64,1016.86
2024-07-10,932.31,37604.43,1007.9
2024-07-11,918.86,37603.21,994.33
2024-07-12,908.92,37602.0,987.53
2024-07-13,,37600.79,
2024-07-14,,37599.57,
2024-07-15,910.14,37598.36,992.52
2024-07-16,,37597.15,
2024-07-17,910.79,37595.93,992.58
2024-07-18,921.91,37594.72,1008.21
2024-07-19,940.15,37593.51,1024.69
2024-07-20,,37592.29,
2024-07-21,,37591.08,
2024-07-22,943.77,37589.87,1026.84
2024-07-23,949.1,37588.65,1033.43
2024-07-24,946.69,37587.44,1027.45
2024-07-25,948.79,37586.23,1028.5
2024-07-26,947.39,37585.01,1027.87
2024-07-27,,37583.8,
2024-07-28,,37582.59,
2024-07-29,950.29,37581.37,1031.91
2024-07-30,956.63,37580.16,1035.31
2024-07-31,956.58,37578.95,1034.36
2024-08-01,943.78,37577.74,1020.96
2024-08-02,938.94,37576.52,1012.77
2024-08-03,,37575.31,
2024-08-04,,37574.1,
2024-08-05,951.11,37572.88,1037.88
2024-08-06,957.57,37571.67,1048.93
2024-08-07,947.18,37570.46,1035.28
2024-08-08,943.96,37569.25,1030.86
2024-08-09,937.18,37568.03,1022.79
2024-08-10,,37576.48,
2024-08-11,,37584.94,
2024-08-12,932.62,37593.4,1018.26
2024-08-13,931.96,37601.86,1018.65
2024-08-14,932.28,37610.32,1024.71
2024-08-15,,37618.79,
2024-08-16,931.39,37627.25,1025.76
2024-08-17,,37635.72,
2024-08-18,,37644.19,
2024-08-19,933.84,37652.66,1028.46
2024-08-20,929.36,37661.13,1029.88
2024-08-21,922.58,37669.61,1025.89
2024-08-22,918.97,37678.09,1026.09
2024-08-23,919.94,37686.57,1021.81
2024-08-24,,37695.05,
2024-08-25,,37703.53,
2024-08-26,911.01,37712.02,1019.71
2024-08-27,907.35,37720.5,1013.01
2024-08-28,907.32,37728.99,1015.01
2024-08-29,912.08,37737.48,1013.42
2024-08-30,917.38,37745.97,1016.37
2024-08-31,,37754.47,
2024-09-01,,37762.97,
2024-09-02,913.99,37771.46,1010.27
2024-09-03,915.14,37779.96,1013.11
2024-09-04,926.22,37788.47,1021.87
2024-09-05,937.86,37796.97,1038.49
2024-09-06,941.54,37805.48,1045.92
2024-09-07,,37813.98,
2024-09-08,,37822.49,
2024-09-09,943.18,37831.01,1045.31
2024-09-10,946.22,37834.79,1045.55
2024-09-11,948.85,37838.57,1046.03
2024-09-12,943.44,37842.34,1039.49
2024-09-13,933.57,37846.12,1031.34
2024-09-14,,37849.9,
2024-09-15,,37853.68,
2024-09-16,925.61,37857.46,1025.72
2024-09-17,923.37,37861.24,1026.99
2024-09-18,,37865.02,
2024-09-19,,37868.8,
2024-09-20,,37872.58,
2024-09-21,,37876.37,
2024-09-22,,37880.15,
2024-09-23,927.15,37883.93,1030.51
2024-09-24,924.81,37887.71,1028.71
2024-09-25,911.51,37891.5,1017.08
2024-09-26,912.24,37895.28,1015.52
2024-09-27,900.91,37899.07,1006.83
2024-09-28,,37902.85,
2024-09-29,,37906.63,
2024-09-30,896.25,37910.42,1000.17
2024-10-01,897.68,37914.2,1001.43
2024-10-02,901.13,37917.99,996.38
2024-10-03,908.23,37921.78,1003.35
2024-10-04,919.49,37925.56,1014.55
2024-10-05,,37929.35,
2024-10-06,,37933.14,
2024-10-07,923.74,37936.93,1012.87
2024-10-08,925.86,37940.71,1016.98
2024-10-09,933.62,37944.5,1024.27
2024-10-10,934.84,37945.72,1022.58
2024-10-11,931.26,37946.95,1016.44
2024-10-12,,37948.17,
2024-10-13,,37949.39,
2024-10-14,926.07,37950.62,1013.43
2024-10-15,928.37,37951.84,1011.96
2024-10-16,937.29,37953.06,1020.24
2024-10-17,941.3,37954.29,1022.6
2024-10-18,945.01,37955.51,1022.96
2024-10-19,,37956.74,
2024-10-20,,37957.96,
2024-10-21,946.99,37959.18,1028.55
2024-10-22,954.39,37960.41,1032.44
2024-10-23,949.0,37961.63,1025.17
2024-10-24,948.2,37962.86,1021.22
2024-10-25,945.29,37964.08,1022.82
2024-10-26,,37965.3,
2024-10-27,,37966.53,
2024-10-28,949.34,37967.75,1025.65
2024-10-29,945.88,37968.98,1023.02
2024-10-30,950.89,37970.2,1027.43
2024-10-31,,37971.42,
2024-11-01,,37972.65,
2024-11-02,,37973.87,
2024-11-03,,37975.1,
2024-11-04,961.29,37976.32,1044.09
2024-11-05,956.54,37977.55,1041.3
2024-11-06,954.9,37978.77,1043.26
2024-11-07,968.6,37980.0,1039.94
2024-11-08,950.99,37981.22,1026.99
2024-11-09,,37982.44,
2024-11-10,,37995.04,
2024-11-11,963.09,38007.64,1030.26
2024-11-12,980.47,38020.25,1044.28
2024-11-13,983.76,38032.87,1042.78
2024-11-14,981.61,38045.48,1037.42
2024-11-15,975.44,38058.1,1030.03
2024-11-16,,38070.73,
2024-11-17,,38083.36,
2024-11-18,974.51,38095.99,1028.29
2024-11-19,976.86,38108.63,1034.04
2024-11-20,973.21,38121.27,1029.96
2024-11-21,972.68,38133.92,1024.2
2024-11-22,971.29,38146.57,1017.91
2024-11-23,,38159.22,
2024-11-24,,38171.88,
2024-11-25,982.08,38184.54,1022.36
2024-11-26,976.89,38197.21,1023.78
2024-11-27,975.06,38209.88,1020.9
2024-11-28,975.41,38222.56,1031.74
2024-11-29,977.32,38235.24,1031.25
2024-11-30,,38247.92,
2024-12-01,,38260.61,
2024-12-02,977.66,38273.3,1031.72
2024-12-03,979.1,38286.0,1026.96
2024-12-04,972.75,38298.7,1023.19
2024-12-05,974.37,38311.4,1026.52
2024-12-06,971.65,38324.11,1026.46
2024-12-07,,38336.83,
2024-12-08,,38349.54,
2024-12-09,971.62,38362.26,1025.56
2024-12-10,969.92,38364.73,1025.18
2024-12-11,972.43,38367.21,1022.1
2024-12-12,975.81,38369.68,1024.15
2024-12-13,975.67,38372.15,1024.76
2024-12-14,,38374.62,
2024-12-15,,38377.1,
2024-12-16,983.25,38379.57,1031.96
2024-12-17,989.93,38382.05,1040.5
2024-12-18,990.87,38384.52,1040.83
2024-12-19,988.44,38386.99,1035.34
2024-12-20,996.35,38389.47,1032.92
2024-12-21,,38391.94,
2024-12-22,,38394.42,
2024-12-23,991.18,38396.89,1034.2
2024-12-24,992.78,38399.37,1032.96
2024-12-25,,38401.84,
2024-12-26,989.07,38404.32,1027.61
2024-12-27,990.95,38406.79,1031.81
2024-12-28,,38409.27,
2024-12-29,,38411.74,
2024-12-30,992.12,38414.22,1033.57
2024-12-31,,38416.69,
2025-01-01,,38419.17,
2025-01-02,996.46,38421.65,1035.28
2025-01-03,999.84,38424.12,1025.9
2025-01-04,,38426.6,
2025-01-05,,38429.08,
2025-01-06,1011.82,38431.55,1042.25
2025-01-07,1010.98,38434.03,1049.71
2025-01-08,1005.85,38436.51,1042.66
2025-01-09,1007.51,38438.98,1038.03
2025-01-10,1003.92,38436.5,1033.69
2025-01-11,,38434.02,
2025-01-12,,38431.53,
2025-01-13,1009.2,38429.05,1033.7
2025-01-14,1012.76,38426.57,1034.59
2025-01-15,1004.67,38424.09,1033.29
2025-01-16,1001.93,38421.61,1030.69
2025-01-17,1010.68,38419.13,1041.4
2025-01-18,,38416.64,
2025-01-19,,38414.16,
2025-01-20,1012.36,38411.68,1040.88
2025-01-21,1001.93,38409.2,1040.43
2025-01-22,1002.14,38406.72,1044.88
2025-01-23,995.22,38404.24,1036.47
2025-01-24,989.83,38401.76,1031.93
2025-01-25,,38399.28,
2025-01-26,,38396.8,
2025-01-27,982.95,38394.32,1033.49
2025-01-28,985.64,38391.84,1033.82
2025-01-29,992.07,38389.36,1034.59
2025-01-30,990.94,38386.88,1032.66
2025-01-31,988.1,38384.41,1029.27
2025-02-01,,38381.93,
2025-02-02,,38379.45,
2025-02-03,984.22,38376.97,1025.66
2025-02-04,987.12,38374.49,1015.03
2025-02-05,977.58,38372.01,1013.98
2025-02-06,969.47,38369.54,1009.97
2025-02-07,967.59,38367.06,1004.04
2025-02-08,,38364.58,
2025-02-09,,38362.1,
2025-02-10,960.6,38377.09,991.64
2025-02-11,960.81,38392.09,990.73
2025-02-12,961.89,38407.09,995.13
2025-02-13,956.63,38422.1,996.28
2025-02-14,949.52,38437.12,990.42
2025-02-15,,38452.14,
2025-02-16,,38467.16,
2025-02-17,939.54,38482.2,986.7
2025-02-18,947.13,38497.23,992.8
2025-02-19,950.43,38512.28,992.82
2025-02-20,951.78,38527.33,990.72
2025-02-21,944.65,38542.38,990.61
2025-02-22,,38557.45,
2025-02-23,,38572.51,
2025-02-24,942.52,38587.59,985.59
2025-02-25,946.96,38602.67,992.0
2025-02-26,940.99,38617.75,987.4
2025-02-27,941.76,38632.84,989.45
2025-02-28,951.21,38647.94,990.02
2025-03-01,,38663.05,
2025-03-02,,38678.15,
2025-03-03,954.22,38693.27,992.53
2025-03-04,953.11,38708.39,999.8
2025-03-05,948.87,38723.52,999.86
2025-03-06,936.7,38738.65,1010.14
2025-03-07,926.52,38753.79,1000.89
2025-03-08,,38768.93,
2025-03-09,,38784.08,
2025-03-10,928.25,38789.07,1006.34
2025-03-11,931.13,38794.07,1008.92
2025-03-12,937.45,38799.07,1024.76
2025-03-13,932.28,38804.06,1017.0
2025-03-14,940.2,38809.06,1021.07
2025-03-15,,38814.06,
2025-03-16,,38819.06,
2025-03-17,932.36,38824.06,1014.54
2025-03-18,923.32,38829.06,1007.88
2025-03-19,917.97,38834.06,1004.78
2025-03-20,917.76,38839.06,997.67
2025-03-21,926.15,38844.06,1004.17
2025-03-22,,38849.06,
2025-03-23,,38854.06,
2025-03-24,932.14,38859.07,1008.15
2025-03-25,926.41,38864.07,999.69
2025-03-26,919.92,38869.08,994.29
2025-03-27,920.98,38874.08,991.15
2025-03-28,931.75,38879.09,1005.99
2025-03-29,,38884.1,
2025-03-30,,38889.1,
2025-03-31,946.1,38894.11,1023.7
2025-04-01,953.07,38899.12,1030.68
2025-04-02,946.28,38904.13,1021.57
2025-04-03,949.83,38909.14,1030.97
2025-04-04,946.59,38914.15,1043.88
2025-04-05,,38919.16,
2025-04-06,,38924.18,
2025-04-07,975.82,38929.19,1067.4
2025-04-08,990.68,38934.2,1082.95
2025-04-09,993.89,38939.22,1088.48
2025-04-10,1000.01,38945.69,1094.7
2025-04-11,988.97,38952.17,1110.33
2025-04-12,,38958.65,
2025-04-13,,38965.12,
2025-04-14,978.09,38971.6,1105.94
2025-04-15,966.07,38978.08,1096.19
2025-04-16,967.15,38984.56,1090.11
2025-04-17,969.23,38991.04,1102.65
2025-04-18,,38997.53,
2025-04-19,,39004.01,
2025-04-20,,39010.5,
2025-04-21,968.71,39016.98,1100.43
2025-04-22,961.14,39023.47,1107.18
2025-04-23,950.04,39029.96,1086.13
2025-04-24,938.02,39036.45,1061.95
2025-04-25,937.81,39042.94,1066.54
2025-04-26,,39049.43,
2025-04-27,,39055.92,
2025-04-28,936.74,39062.41,1065.57
2025-04-29,937.54,39068.91,1069.76
2025-04-30,945.42,39075.41,1075.93
2025-05-01,,39081.9,
2025-05-02,955.67,39088.4,1084.51
2025-05-03,,39094.9,
2025-05-04,,39101.4,
2025-05-05,940.95,39107.9,1063.34
2025-05-06,940.18,39114.4,1062.83
2025-05-07,939.67,39120.91,1067.69
2025-05-08,945.44,39127.41,1072.66
2025-05-09,941.22,39133.92,1056.48
2025-05-10,,39136.44,
2025-05-11,,39138.96,
2025-05-12,933.26,39141.49,1050.73
2025-05-13,941.2,39144.01,1042.42
2025-05-14,940.18,39146.53,1051.3
2025-05-15,939.43,39149.06,1049.99
2025-05-16,940.25,39151.58,1050.79
2025-05-17,,39154.1,
2025-05-18,,39156.63,
2025-05-19,944.46,39159.15,1052.91
2025-05-20,936.69,39161.67,1051.87
2025-05-21,,39164.2,
2025-05-22,942.21,39166.72,1062.36
2025-05-23,944.84,39169.25,1065.33
2025-05-24,,39171.77,
2025-05-25,,39174.3,
2025-05-26,940.81,39176.82,1068.86
2025-05-27,938.28,39179.35,1067.93
2025-05-28,937.93,39181.87,1063.17
2025-05-29,940.21,39184.4,1061.42
2025-05-30,937.37,39186.92,1066.65
2025-05-31,,39189.45,
2025-06-01,,39191.97,
2025-06-02,941.97,39194.5,1069.93
2025-06-03,939.65,39197.03,1074.01
2025-06-04,941.53,39199.55,1070.89
2025-06-05,936.89,39202.08,1070.24
2025-06-06,930.79,39204.61,1064.73
2025-06-07,,39207.13,
2025-06-08,,39209.66,
2025-06-09,933.91,39212.19,1064.41
2025-06-10,937.09,39214.8,1070.84
2025-06-11,938.88,39217.41,1072.39
2025-06-12,936.36,39220.03,1075.78
2025-06-13,930.25,39222.64,1076.8
2025-06-14,,39225.25,
2025-06-15,,39227.86,
2025-06-16,937.78,39230.48,1082.64
2025-06-17,935.21,39233.09,1082.79
2025-06-18,939.29,39235.7,1078.4
2025-06-19,943.36,39238.31,1084.45
2025-06-20,,39240.93,
2025-06-21,,39243.54,
2025-06-22,,39246.15,
2025-06-23,947.03,39248.77,1087.54
2025-06-24,950.16,39251.38,1099.59
2025-06-25,937.89,39254.0,1090.19
2025-06-26,936.29,39256.61,1090.99
